cluster_id,kelas_sawah,varietas,usia_fase,overlap_ratio,area_m2,area_ha
279352648,non-sawah,non-sawah,non-tanaman,0.9271830620638953,1200.0000037049176,0.12000000037049176
1544156028,sawah,Rojolele Srinuk,terkalibrasi,0.6835590101308844,5199.999978899432,0.5199999978899432
146998331,non-sawah,non-sawah,non-tanaman,0.320412129062603,10100.000045750348,1.0100000045750348
-1053264310,non-sawah,non-sawah,non-tanaman,0.7150652605571982,33899.99993957259,3.389999993957259
1245845375,non-sawah,non-sawah,non-tanaman,0.9788497984883945,3099.9999941742863,0.3099999994174286
-480923910,non-sawah,non-sawah,non-tanaman,0.7264784018393362,11899.999929330952,1.189999992933095
-2057709567,non-sawah,non-sawah,non-tanaman,0.9711563443928739,3199.999969823112,0.31999999698231124
-1284442074,non-sawah,non-sawah,non-tanaman,0.9064991034287665,6899.999998587009,0.6899999998587009
824703697,non-sawah,non-sawah,non-tanaman,0.9297375793389778,1200.0000061216997,0.12000000061216996
505802161,non-sawah,non-sawah,non-tanaman,0.3908739135283737,6499.999997262785,0.6499999997262784
680853617,non-sawah,non-sawah,non-tanaman,0.995351896338207,8200.000066687935,0.8200000066687935
1031665108,non-sawah,non-sawah,non-tanaman,0.9989623854206046,4800.00004368776,0.480000004368776
160353522,non-sawah,non-sawah,non-tanaman,0.9715188096479427,1900.0000031298262,0.19000000031298261
-1037565250,sawah,Inpari 32,terkalibrasi,1.0000000000000002,99.99999700434272,0.009999999700434272
99930786,non-sawah,non-sawah,non-tanaman,0.8316378763739958,5900.00000313943,0.5900000003139431
-1577576132,non-sawah,non-sawah,non-tanaman,0.9854269247778337,5899.999958546541,0.5899999958546541
2057256375,non-sawah,non-sawah,non-tanaman,0.864396220973773,4800.000018971915,0.4800000018971915
-85254280,non-sawah,non-sawah,non-tanaman,0.9772867288072794,4200.000015156111,0.42000000151561107
1396555518,non-sawah,non-sawah,non-tanaman,1.0,3500.000004634494,0.3500000004634494
-1868060578,non-sawah,non-sawah,non-tanaman,0.32695887395357626,899.9999856398792,0.08999999856398792
1538487701,non-sawah,non-sawah,non-tanaman,0.9478395164035666,4499.9999809253495,0.44999999809253494
-1040951351,non-sawah,non-sawah,non-tanaman,0.9881325156211004,13900.000006650807,1.3900000006650808
191433678,non-sawah,non-sawah,non-tanaman,1.0,10500.000005768088,1.0500000005768089
-1417515186,non-sawah,non-sawah,non-tanaman,0.48432937283309213,17800.000042475876,1.7800000042475876
-876480715,non-sawah,non-sawah,non-tanaman,0.9942161530004721,18399.999997767445,1.8399999997767444
